,MsSubClass,Zone,Neighborhood,Area,Room,YearBuilt,Sale-Rent,Document,Floor,AllFloors,Elevator,Warehouse,Parking,Reconstruction,Balconcy,PricePerMeter,TotalPrice
60,0,1,15,85,2,18,0,0,3,3,0,1,1,1,1,82352000.0,7000000000.0
61,0,1,18,87,2,31,0,3,1,3,0,1,1,0,0,114942000.0,10000000000.0
62,0,1,15,95,2,23,0,0,3,3,0,1,1,1,0,110526000.0,10500000000.0
63,0,1,12,96,2,25,0,0,1,3,0,1,1,1,1,130208000.0,12500000000.0
64,0,1,11,97,2,22,0,0,1,3,1,1,1,1,1,180412000.0,17500000000.0
65,0,1,15,100,2,33,0,0,1,3,0,1,1,1,1,130000000.0,13000000000.0
66,0,1,2,100,2,23,0,0,2,3,0,1,1,1,1,96000000.0,9600000000.0
67,0,1,21,100,3,23,0,0,0,3,0,0,0,1,1,109000000.0,10900000000.0
68,0,1,11,100,2,23,0,0,2,3,1,1,1,1,1,280000000.0,28000000000.0
69,0,1,2,110,2,23,0,0,0,3,0,1,0,1,1,122727000.0,13500000000.0
70,0,1,7,110,2,16,0,0,1,3,0,1,1,1,1,126363000.0,13900000000.0
71,0,1,6,111,2,28,0,0,2,3,0,1,1,1,1,216216000.0,24000000000.0
72,0,1,4,112,2,23,0,0,0,3,0,1,1,0,1,160714000.0,18000000000.0
73,0,1,9,113,2,23,0,0,3,3,0,1,1,0,1,110619000.0,12500000000.0
74,0,1,13,115,2,26,0,0,1,3,0,1,1,1,1,100000000.0,11500000000.0
75,0,1,23,120,2,20,0,0,3,3,0,1,1,1,1,170833000.0,20500000000.0
76,0,1,9,122,3,21,0,0,3,3,0,1,1,0,1,90163000.0,11000000000.0
77,0,1,15,122,2,21,0,0,2,3,1,1,1,0,1,139344000.0,17000000000.0
78,0,1,13,125,3,20,0,0,1,3,1,1,1,1,0,133600000.0,16700000000.0
79,0,1,2,130,3,26,0,3,1,3,1,1,1,0,0,126923000.0,16500000000.0
80,0,1,21,130,3,23,0,3,3,3,0,1,1,0,0,120000000.0,15600000000.0
81,0,1,2,130,3,23,0,0,1,3,1,1,1,1,1,103692000.0,13480000000.0
